id,recipe_id,ingredient_group,ingredient_original_name,ingredient_normalized_name,ingredient_quantity,ingredient_unit
ING_000001,MR_187_01,utama,djagung putih pipilan,jagung putih pipilan,,
ING_000002,MR_187_02,kulit,beras,beras,1.0,liter
ING_000003,MR_187_02,kulit,garam,garam,1.0,sendok makan
ING_000004,MR_187_02,kulit,daun pisang batu,daun pisang batu,2.0,pelepah
ING_000005,MR_187_02,kulit,biting,biting,,secukupnya
ING_000006,MR_187_02,isian,daging/ajam,daging/ayam,0.25,kilogram
ING_000007,MR_188_01,Bahan Utama (Aron),aron,aron,120.0,gram
ING_000008,MR_188_01,Bahan Utama (Aron),tepung singkong,tepung singkong,35.0,gram
ING_000009,MR_188_01,Bumbu dan Isi,petai,petai,5.0,biji
ING_000010,MR_188_01,Bumbu dan Isi,bawang merah,bawang merah,4.0,buah
ING_000011,MR_188_01,Bumbu dan Isi,kelapa,kelapa,0.25,butir
ING_000012,MR_188_01,Bumbu dan Isi,gula,gula,,secukupnya
ING_000013,MR_188_01,Bumbu dan Isi,garam,garam,,secukupnya
ING_000014,MR_188_01,Bumbu dan Isi,salam,daun salam,,secukupnya
ING_000015,MR_188_01,Bumbu dan Isi,laos,lengkuas,,secukupnya
ING_000016,MR_188_01,Bumbu dan Isi,lombok merah,cabai merah,3.0,buah
ING_000017,MR_188_01,Bumbu dan Isi,tempe,tempe,30.0,gram
ING_000018,MR_188_01,Bumbu dan Isi,terasi,terasi,1.0,sendok teh
ING_000019,MR_189_01,bahan utama,beras djagung,beras jagung,1.0,kilogram
ING_000020,MR_189_01,bahan utama,beras,beras,1.0,kilogram
ING_000021,MR_189_01,bahan utama,minjak kelapa,minyak kelapa,1.0,botol
ING_000022,MR_189_01,bahan utama,kelapa,kelapa,1.0,butir
ING_000023,MR_189_01,bahan utama,daun pisang batu,daun pisang batu,,
ING_000024,MR_189_01,bumbu,bawang merah,bawang merah,1.0,ons
ING_000025,MR_189_01,bumbu,bawang putih,bawang putih,10.0,siung
ING_000026,MR_189_01,bumbu,kemiri,kemiri,0.25,kilogram
ING_000027,MR_189_01,bumbu,lombok merah,cabai merah,0.25,kilogram
ING_000028,MR_189_01,bumbu,terasi,terasi,2.0,sendok makan
ING_000029,MR_189_01,bumbu,kentjur,kencur,1.0,ruas jari
ING_000030,MR_189_01,bumbu,laos,lengkuas,2.0,potong
ING_000031,MR_189_01,bumbu,kunjit,kunyit,1.0,ruas jari
ING_000032,MR_189_01,bumbu,daun seledri,daun seledri,2.0,lembar
ING_000033,MR_189_01,bumbu,gula merah,gula merah,1.0,sendok makan
ING_000034,MR_189_01,bumbu,garam,garam,1.0,sendok makan
ING_000035,MR_190_01,utama,djagung bidji tua,jagung biji tua,,
ING_000036,MR_190_01,utama,santan,santan,,
ING_000037,MR_190_01,utama,garam,garam,,
ING_000038,MR_190_01,utama,katjang hidjau,kacang hijau,,
ING_000039,MR_190_01,utama,katjang tolo,kacang tolo,,
ING_000040,MR_190_01,utama,daun waluh,daun waluh,,
ING_000041,MR_190_02,utama,djagung kering pipilan,jagung kering pipilan,1.0,liter
ING_000042,MR_190_02,utama,katjang merah,kacang merah,2.0,gelas
ING_000043,MR_190_02,bumbu,garam,garam,,secukupnya
ING_000044,MR_191_01,utama,kentang,kentang,2.0,kilogram
ING_000045,MR_191_01,utama,wortel,wortel,1.0,kilogram
ING_000046,MR_191_01,utama,daging klapstuk,daging sapi klapstuk,0.5,kilogram
ING_000047,MR_191_01,utama,mentega,mentega,80.0,gram
ING_000048,MR_191_01,bumbu,bawang merah,bawang merah,0.25,kilogram
ING_000049,MR_191_01,bumbu,lada,lada,0.5,sendok teh
ING_000050,MR_191_01,bumbu,pala,pala,0.5,sendok teh
ING_000051,MR_191_01,bumbu,garam,garam,1.0,sendok makan
ING_000052,MR_191_02,utama,djagung tua pipilan,jagung tua pipilan,1.0,kilogram
ING_000053,MR_191_02,utama,kelapa,kelapa,1.0,butir
ING_000054,MR_191_02,utama,garam,garam,,secukupnya
ING_000055,MR_192_01,utama,kentang,kentang,1.0,kilogram
ING_000056,MR_192_01,bumbu,garam,garam,1.0,sendok teh
ING_000057,MR_192_02,utama,kentang,kentang,0.5,kilogram
ING_000058,MR_192_02,utama,susu,susu,1.5,gelas
ING_000059,MR_192_02,bumbu,mentega,mentega,2.0,sendok makan
ING_000060,MR_192_02,bumbu,pala halus,pala bubuk,0.5,sendok teh
ING_000061,MR_192_02,bumbu,garam,garam,1.0,sendok teh
ING_000062,MR_194_01,utama,beras,beras,1.0,liter
ING_000063,MR_194_01,utama,kulit ketupat (sedang),kulit ketupat (sedang),10.0,buah
ING_000064,MR_194_02,bahan utama,pisang kepok atau pisang radja jang tua,pisang kepok atau pisang raja yang tua,10.0,buah
ING_000065,MR_194_02,bahan utama,kelapa,kelapa,0.5,butir
ING_000066,MR_194_02,bumbu,garam,garam,,secukupnya
ING_000067,MR_195_01,utama,beras,beras,1.0,liter
ING_000068,MR_195_01,utama,kulit lontong,kulit lontong,20.0,biji
ING_000069,MR_195_02,utama,djagung,jagung,1.0,kilogram
ING_000070,MR_195_02,utama,daun pisang,daun pisang,4.0,pelepah
ING_000071,MR_196_01,utama,beras djagung,beras jagung,2.0,gelas
ING_000072,MR_196_01,utama,beras,beras,2.0,gelas
ING_000073,MR_196_01,utama,daun pisang/kulit ketupat,daun pisang/kulit ketupat,,
ING_000074,MR_196_01,utama,lidi,lidi,,
ING_000075,MR_196_02,utama,beras,beras,1.5,kilogram
ING_000076,MR_196_02,utama,susu asam,susu asam,1.0,liter
ING_000077,MR_196_02,utama,kas²,kas,0.5,genggam
ING_000078,MR_196_02,utama,kenari,kenari,0.5,ons
ING_000079,MR_196_02,bumbu,djae,jahe,3.0,ons
ING_000080,MR_196_02,bumbu,bawang merah,bawang merah,20.0,buah
ING_000081,MR_196_02,bumbu,djinten putih,jintan putih,1.0,sendok makan
ING_000082,MR_196_02,bumbu,tjengkeh,cengkeh,10.0,biji
ING_000083,MR_196_02,bumbu,djeruk nipis,jeruk nipis,1.0,buah
ING_000084,MR_196_02,bumbu,bumbu korma,bumbu kurma,1.0,sendok makan
ING_000085,MR_196_02,bumbu,bawang putih,bawang putih,2.0,siung
ING_000086,MR_196_02,bumbu,djinten manis,jintan manis,1.0,sendok makan
ING_000087,MR_196_02,bumbu,kulit manis,kayu manis,1.0,potong
ING_000088,MR_196_02,bumbu,garam,garam,1.0,sendok makan
ING_000089,MR_197_02,utama,djagung pipilan,jagung pipilan,1.0,kilogram
ING_000090,MR_197_03,utama,beras djagung,beras jagung,1.0,kilogram
ING_000091,MR_197_03,utama,beras,beras,1.0,kilogram
ING_000092,MR_198_01,bahan_utama,djagung bidji setengah tua,jagung biji setengah tua,1.0,kilogram
ING_000093,MR_198_01,bahan_utama,gaplek,gaplek,1.0,kilogram
ING_000094,MR_198_01,bumbu,air,air,1.0,gelas
ING_000095,MR_198_01,bumbu,garam,garam,2.0,sendok makan
ING_000096,MR_199_01,utama,djagung,jagung,0.5,kg
ING_000097,MR_199_01,utama,nangka muda,nangka muda,0.5,buah
ING_000098,MR_199_02,utama,djagung,jagung,1.0,kg
ING_000099,MR_199_02,utama,ubi kaju,ubi kayu,2.0,kg
ING_000100,MR_199_03,utama,nasi,nasi,1.0,kg
ING_000101,MR_200_01,utama,nasi,nasi,2.0,porsi
ING_000102,MR_200_01,utama,telur,telur,1.0,butir
ING_000103,MR_200_01,utama,ketimun,timun,1.0,buah
ING_000104,MR_200_01,utama,tomat,tomat,1.0,buah
ING_000105,MR_200_01,bumbu,bawang merah,bawang merah,5.0,buah
ING_000106,MR_200_01,bumbu,bawang putih,bawang putih,2.0,siung
ING_000107,MR_200_01,bumbu,lombok merah,cabai merah,3.0,buah
ING_000108,MR_200_01,bumbu,terasi,terasi,1.0,sendok teh
ING_000109,MR_200_01,bumbu,garam,garam,0.5,sendok teh
ING_000110,MR_200_01,bumbu,ketjap,kecap,1.0,sendok makan
ING_000111,MR_200_02,utama,beras djagung,beras jagung,0.5,kilogram
ING_000112,MR_200_02,utama,garam,garam,1.0,sendok makan
ING_000113,MR_200_02,utama,kelapa tua,kelapa tua,0.5,butir
ING_000114,MR_201_01,pelengkap,daun sereh,daun serai,1.0,potong
ING_000115,MR_201_01,pelengkap,daun salam,daun salam,1.0,lembar
ING_000116,MR_201_01,pelengkap,telur,telur,1.0,butir
ING_000117,MR_201_01,pelengkap,abon,abon,0.5,ons
ING_000118,MR_201_01,pelengkap,ketimun muda,timun muda,1.0,buah
ING_000119,MR_201_02,utama,beras,beras,1.0,kilogram
ING_000120,MR_201_02,utama,daging kambing,daging kambing,1.0,kilogram
