,id,title_original,title_normalized,source_page,region,ai_category,ingredient_json,instruction,region_clean,province_group,category
0,MR_187_01,ARON,Aron,187,Tengger,Staple,"[{""group_name"": ""utama"", ""original_header"": ""Bahan"", ""ingredients"": [{""original_text"": ""djagung putih pipilan"", ""item_original"": ""djagung putih pipilan"", ""item_normalized"": ""jagung putih pipilan"", ""quantity"": null, ""unit"": null}]}]","Bidji jagung direndam air 12 jam atau lebih, sehingga kulitnya mudah terbuang kalau disosoh.
Disosoh.
Kulit dibuangi.
Ditumbuk dengan halus.
Ditaruh dalam keranjang kecil dengan alas daun pisang.
Dipanaskan.
Dikukus hingga masak.",Tengger,Jawa Timur,MAKANAN UTAMA
1,MR_187_02,AREM AREM,Arem Arem,187,,Savory Snack,"[{""group_name"": ""kulit"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""beras 1 lt."", ""item_original"": ""beras"", ""item_normalized"": ""beras"", ""quantity"": 1.0, ""unit"": ""liter""}, {""original_text"": ""garam 1 sdm."", ""item_original"": ""garam"", ""item_normalized"": ""garam"", ""quantity"": 1.0, ""unit"": ""sendok makan""}, {""original_text"": ""daun pisang batu 2 plp."", ""item_original"": ""daun pisang batu"", ""item_normalized"": ""daun pisang batu"", ""quantity"": 2.0, ""unit"": ""pelepah""}, {""original_text"": ""biting setjukupnja"", ""item_original"": ""biting"", ""item_normalized"": ""biting"", ""quantity"": null, ""unit"": ""secukupnya""}]}, {""group_name"": ""isian"", ""original_header"": ""Untuk isinja : Bahan²"", ""ingredients"": [{""original_text"": ""daging/ajam ¼ kg."", ""item_original"": ""daging/ajam"", ""item_normalized"": ""daging/ayam"", ""quantity"": 0.25, ""unit"": ""kilogram""}]}]","Beras dicuci, dikaru dan digarami.
Jika sudah dingin, diambil karu 2 sendok makan dan diletakkan di daun diisi dengan daging.
Dibungkus seperti membuat lontong, akan tetapi jangan terlalu panjang, kemudian tiap ujung disemat dengan biting.
Direbus selama 2 jam.",,Unknown,MAKANAN UTAMA
2,MR_188_01,AREM AREM ARON,Arem Arem Aron,188,,Jajanan,"[{""group_name"": ""Bahan Utama (Aron)"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""aron 120 g."", ""item_original"": ""aron"", ""item_normalized"": ""aron"", ""quantity"": 120.0, ""unit"": ""gram""}, {""original_text"": ""tepung singkong 35 g."", ""item_original"": ""tepung singkong"", ""item_normalized"": ""tepung singkong"", ""quantity"": 35.0, ""unit"": ""gram""}]}, {""group_name"": ""Bumbu dan Isi"", ""original_header"": ""Bumbu²"", ""ingredients"": [{""original_text"": ""petai 5 bdj."", ""item_original"": ""petai"", ""item_normalized"": ""petai"", ""quantity"": 5.0, ""unit"": ""biji""}, {""original_text"": ""bawang merah 4 bh."", ""item_original"": ""bawang merah"", ""item_normalized"": ""bawang merah"", ""quantity"": 4.0, ""unit"": ""buah""}, {""original_text"": ""kelapa 1/4 btr."", ""item_original"": ""kelapa"", ""item_normalized"": ""kelapa"", ""quantity"": 0.25, ""unit"": ""butir""}, {""original_text"": ""gula, garam, salam, laos setjukupnja."", ""item_original"": ""gula"", ""item_normalized"": ""gula"", ""quantity"": null, ""unit"": ""secukupnya""}, {""original_text"": ""gula, garam, salam, laos setjukupnja."", ""item_original"": ""garam"", ""item_normalized"": ""garam"", ""quantity"": null, ""unit"": ""secukupnya""}, {""original_text"": ""gula, garam, salam, laos setjukupnja."", ""item_original"": ""salam"", ""item_normalized"": ""daun salam"", ""quantity"": null, ""unit"": ""secukupnya""}, {""original_text"": ""gula, garam, salam, laos setjukupnja."", ""item_original"": ""laos"", ""item_normalized"": ""lengkuas"", ""quantity"": null, ""unit"": ""secukupnya""}, {""original_text"": ""lombok merah 3 bh."", ""item_original"": ""lombok merah"", ""item_normalized"": ""cabai merah"", ""quantity"": 3.0, ""unit"": ""buah""}, {""original_text"": ""tempe 30 g."", ""item_original"": ""tempe"", ""item_normalized"": ""tempe"", ""quantity"": 30.0, ""unit"": ""gram""}, {""original_text"": ""terasi 1 sdt."", ""item_original"": ""terasi"", ""item_normalized"": ""terasi"", ""quantity"": 1.0, ""unit"": ""sendok teh""}]}]","Aron direndam dengan garam selama ± 5 menit.
Tepung singkong dimasukkan.
Diaduk dan dikukus dalam lojang jang dialas dengan daun pisang, sampai setengah masak.
Isi : Bawang merah, garam, gula, terasi, lombok merah, dihaluskan.
Petai dikupas di-potong².
tempe di-potong² tipis; bumbu jang sudah dihaluskan, beserta daun salam, laos ditumis;
petai dan tempe dimasukkan.
Dituangi santan kental, direbus sampai masak dan kuahnja ditinggalkan sedikit njemek².
Aron jang sudah setengah masak, panas² diambil sebagian, diratakan diatas daun pisang, diisi dengan isi, digulung, disemat biting pada kedua udjungnja, dikukus sampai masak.
Kalau akan mengisi harus panas² supaja tak kaku dan meratakannja dengan daun pisang jang dibasahi.",,Unknown,MAKANAN UTAMA
3,MR_189_01,AREM AREM DJAGUNG,Arem Arem Jagung,189,,Jajanan,"[{""group_name"": ""bahan utama"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""beras djagung 1 kg."", ""item_original"": ""beras djagung"", ""item_normalized"": ""beras jagung"", ""quantity"": 1.0, ""unit"": ""kilogram""}, {""original_text"": ""beras 1 kg."", ""item_original"": ""beras"", ""item_normalized"": ""beras"", ""quantity"": 1.0, ""unit"": ""kilogram""}, {""original_text"": ""minjak kelapa 1 btl."", ""item_original"": ""minjak kelapa"", ""item_normalized"": ""minyak kelapa"", ""quantity"": 1.0, ""unit"": ""botol""}, {""original_text"": ""kelapa 1 btr."", ""item_original"": ""kelapa"", ""item_normalized"": ""kelapa"", ""quantity"": 1.0, ""unit"": ""butir""}, {""original_text"": ""daun pisang batu"", ""item_original"": ""daun pisang batu"", ""item_normalized"": ""daun pisang batu"", ""quantity"": null, ""unit"": null}]}, {""group_name"": ""bumbu"", ""original_header"": ""Bumbu²"", ""ingredients"": [{""original_text"": ""bawang merah 1 ons"", ""item_original"": ""bawang merah"", ""item_normalized"": ""bawang merah"", ""quantity"": 1.0, ""unit"": ""ons""}, {""original_text"": ""bawang putih 10 siung"", ""item_original"": ""bawang putih"", ""item_normalized"": ""bawang putih"", ""quantity"": 10.0, ""unit"": ""siung""}, {""original_text"": ""kemiri ¼ kg."", ""item_original"": ""kemiri"", ""item_normalized"": ""kemiri"", ""quantity"": 0.25, ""unit"": ""kilogram""}, {""original_text"": ""lombok merah ¼ kg."", ""item_original"": ""lombok merah"", ""item_normalized"": ""cabai merah"", ""quantity"": 0.25, ""unit"": ""kilogram""}, {""original_text"": ""terasi 2 sdm."", ""item_original"": ""terasi"", ""item_normalized"": ""terasi"", ""quantity"": 2.0, ""unit"": ""sendok makan""}, {""original_text"": ""kentjur 1 rdj."", ""item_original"": ""kentjur"", ""item_normalized"": ""kencur"", ""quantity"": 1.0, ""unit"": ""ruas jari""}, {""original_text"": ""laos 2 pt."", ""item_original"": ""laos"", ""item_normalized"": ""lengkuas"", ""quantity"": 2.0, ""unit"": ""potong""}, {""original_text"": ""kunjit 1 rdj."", ""item_original"": ""kunjit"", ""item_normalized"": ""kunyit"", ""quantity"": 1.0, ""unit"": ""ruas jari""}, {""original_text"": ""daun seledri 2 lbr."", ""item_original"": ""daun seledri"", ""item_normalized"": ""daun seledri"", ""quantity"": 2.0, ""unit"": ""lembar""}, {""original_text"": ""gula merah 1 sdm."", ""item_original"": ""gula merah"", ""item_normalized"": ""gula merah"", ""quantity"": 1.0, ""unit"": ""sendok makan""}, {""original_text"": ""garam 1 sdm."", ""item_original"": ""garam"", ""item_normalized"": ""garam"", ""quantity"": 1.0, ""unit"": ""sendok makan""}]}]","Beras djagung ditjutji bersih, direndam 1 malam, dimasak setengah matang dengan perbandingan 1 kg djagung : 2 liter air.
Beras direbus dan dikaru biasa; setelah itu ditjampur dengan beras djagung tersebut diatas.
Bumbu² dihaluskan semua ketjuali daun seledri; setelah halus ditumis setengah matang, daging giling dimasukkan.
Kelapa diparut, didjadikan santan kental sebanjak 2 tjangkir. Santan dituang kedalam daging sambil di-aduk² sampai kering.
Daun pisang di-sobek² sama besar, dibersihkan, dan dikukus sampai masak.
Diambil sesendok makan aron dan ditaroh daging untuk isi 1 sendok di-tengah²nja, terus dibungkus.",,Unknown,MAKANAN UTAMA
4,MR_190_01,DJAGUNG BOSE,Jagung Bose,190,Timor,Makanan Pokok,"[{""group_name"": ""utama"", ""original_header"": ""Bahan"", ""ingredients"": [{""original_text"": ""djagung bidji tua"", ""item_original"": ""djagung bidji tua"", ""item_normalized"": ""jagung biji tua"", ""quantity"": null, ""unit"": null}, {""original_text"": ""santan"", ""item_original"": ""santan"", ""item_normalized"": ""santan"", ""quantity"": null, ""unit"": null}, {""original_text"": ""garam"", ""item_original"": ""garam"", ""item_normalized"": ""garam"", ""quantity"": null, ""unit"": null}, {""original_text"": ""katjang hidjau"", ""item_original"": ""katjang hidjau"", ""item_normalized"": ""kacang hijau"", ""quantity"": null, ""unit"": null}, {""original_text"": ""katjang tolo"", ""item_original"": ""katjang tolo"", ""item_normalized"": ""kacang tolo"", ""quantity"": null, ""unit"": null}, {""original_text"": ""daun waluh, dsb."", ""item_original"": ""daun waluh"", ""item_normalized"": ""daun waluh"", ""quantity"": null, ""unit"": null}]}]","Jagung dicuci lalu direndam semalam dalam air.
Disosoh untuk menghilangkan kulitnya.
Setelah kulitnya hilang sama sekali, dikukus sampai matang.
Sesudah itu direbus bersama santan dan garam, ditambahi kacang hijau, kacang tolo, daun waluh, dsb.",Timor,Nusa Tenggara Timur,MAKANAN UTAMA
5,MR_190_02,DJAGUNG TITI,Jagung Titi,190,Timor,Makanan Pokok,"[{""group_name"": ""utama"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""djagung kering pipilan 1 lt."", ""item_original"": ""djagung kering pipilan"", ""item_normalized"": ""jagung kering pipilan"", ""quantity"": 1.0, ""unit"": ""liter""}, {""original_text"": ""katjang merah 2 gls."", ""item_original"": ""katjang merah"", ""item_normalized"": ""kacang merah"", ""quantity"": 2.0, ""unit"": ""gelas""}]}, {""group_name"": ""bumbu"", ""original_header"": ""Bumbu"", ""ingredients"": [{""original_text"": ""garam setjukupnja"", ""item_original"": ""garam"", ""item_normalized"": ""garam"", ""quantity"": null, ""unit"": ""secukupnya""}]}]","Jagung dibersihkan, ditumbuk.
Dipisahkan beras jagung yang kasar, yang sedang dan yang halus.
Beras jagung yang kasar dimasak dengan kacang merah.
Jika hampir masak, beras jagung yang sedang dimasukkan.
Hampir kering, beras jagung yang halus dimasukkan.
Diberi garam sedikit.",Timor,Nusa Tenggara Timur,MAKANAN UTAMA
6,MR_191_01,HUTSPOT,Hutspot,191,,Main Course,"[{""group_name"": ""utama"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""kentang 2 kg."", ""item_original"": ""kentang"", ""item_normalized"": ""kentang"", ""quantity"": 2.0, ""unit"": ""kilogram""}, {""original_text"": ""wortel 1 kg."", ""item_original"": ""wortel"", ""item_normalized"": ""wortel"", ""quantity"": 1.0, ""unit"": ""kilogram""}, {""original_text"": ""daging klapstuk ½ kg."", ""item_original"": ""daging klapstuk"", ""item_normalized"": ""daging sapi klapstuk"", ""quantity"": 0.5, ""unit"": ""kilogram""}, {""original_text"": ""mentega 80 g."", ""item_original"": ""mentega"", ""item_normalized"": ""mentega"", ""quantity"": 80.0, ""unit"": ""gram""}]}, {""group_name"": ""bumbu"", ""original_header"": ""Bumbu²"", ""ingredients"": [{""original_text"": ""bawang merah ¼ kg."", ""item_original"": ""bawang merah"", ""item_normalized"": ""bawang merah"", ""quantity"": 0.25, ""unit"": ""kilogram""}, {""original_text"": ""lada ½ sdt."", ""item_original"": ""lada"", ""item_normalized"": ""lada"", ""quantity"": 0.5, ""unit"": ""sendok teh""}, {""original_text"": ""pala ½ sdt."", ""item_original"": ""pala"", ""item_normalized"": ""pala"", ""quantity"": 0.5, ""unit"": ""sendok teh""}, {""original_text"": ""garam 1 sdm."", ""item_original"": ""garam"", ""item_normalized"": ""garam"", ""quantity"": 1.0, ""unit"": ""sendok makan""}]}]","Daging direbus kira² 2 djam lamanja sampai empuk.
Kentang dikupas, ditjutji, ditaruh diatas daging; wortel dikupas di-potong², dimasukkan dan terachir bawang merah.
Bahan² jang telah direbus dihaluskan, diselaikan dengan mentega, lada, pala, garam, diaduk sampai rata.
Daging diiris tipis dan diletakkan diatas.
Dihidangkan dalam basi tertutup.",,Unknown,MAKANAN UTAMA
7,MR_191_02,KAPUSUK NOSU,Kapusuk Nosu,191,Buton,Side Dish,"[{""group_name"": ""utama"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""djagung tua pipilan 1 kg."", ""item_original"": ""djagung tua pipilan"", ""item_normalized"": ""jagung tua pipilan"", ""quantity"": 1.0, ""unit"": ""kilogram""}, {""original_text"": ""kelapa 1 btr."", ""item_original"": ""kelapa"", ""item_normalized"": ""kelapa"", ""quantity"": 1.0, ""unit"": ""butir""}, {""original_text"": ""garam setjukupnja"", ""item_original"": ""garam"", ""item_normalized"": ""garam"", ""quantity"": null, ""unit"": ""secukupnya""}]}]","Djagung ditumbuk dengan air sedikit.
Sesudah lembaganja hilang, diangkat.
Ditjutji bersih.
Direbus hingga lembek.
Air rebusan dibuang.
Dimasukkan santan biasa.
Sesudah mendidih dimasukkan santan kental dan diaduk.
Diberi garam setjukupnja.
Diangkat sesudah airnja kental.",Buton,Sulawesi Tenggara,MAKANAN UTAMA
8,MR_192_01,KENTANG ONGKLOK,Kentang Ongklok,192,,Lauk Pauk,"[{""group_name"": ""utama"", ""original_header"": ""Bahan"", ""ingredients"": [{""original_text"": ""kentang 1 kg."", ""item_original"": ""kentang"", ""item_normalized"": ""kentang"", ""quantity"": 1.0, ""unit"": ""kilogram""}]}, {""group_name"": ""bumbu"", ""original_header"": ""Bumbu"", ""ingredients"": [{""original_text"": ""garam 1 sdt."", ""item_original"": ""garam"", ""item_normalized"": ""garam"", ""quantity"": 1.0, ""unit"": ""sendok teh""}]}]","Kentang ditjutji, dikupas.
Direbus dalam air mendidih, ditambah garam.
Diongklok dalam pantji terbuka supaja uapnja keluar, kentang akan mendjadi agak kering dan masir.",,Unknown,MAKANAN UTAMA
9,MR_192_02,KENTANG PURI,Kentang Puri,192,,Lauk Pauk,"[{""group_name"": ""utama"", ""original_header"": ""Bahan²"", ""ingredients"": [{""original_text"": ""kentang 1/2 kg."", ""item_original"": ""kentang"", ""item_normalized"": ""kentang"", ""quantity"": 0.5, ""unit"": ""kilogram""}, {""original_text"": ""susu 1 1/2 gls."", ""item_original"": ""susu"", ""item_normalized"": ""susu"", ""quantity"": 1.5, ""unit"": ""gelas""}]}, {""group_name"": ""bumbu"", ""original_header"": ""Bumbu²"", ""ingredients"": [{""original_text"": ""mentega 2 sdm."", ""item_original"": ""mentega"", ""item_normalized"": ""mentega"", ""quantity"": 2.0, ""unit"": ""sendok makan""}, {""original_text"": ""pala halus 1/2 sdt."", ""item_original"": ""pala halus"", ""item_normalized"": ""pala bubuk"", ""quantity"": 0.5, ""unit"": ""sendok teh""}, {""original_text"": ""garam 1 sdt."", ""item_original"": ""garam"", ""item_normalized"": ""garam"", ""quantity"": 1.0, ""unit"": ""sendok teh""}]}]","Kentang direbus, dikupas, dihaluskan.
Susu dididihkan, kentang dimasukkan, didjerangkan diatas api ketjil, di-aduk² dengan sendok kaju.
Setelah kental ditambah mentega, pala halus dan garam.",,Unknown,MAKANAN UTAMA
