,region,count
0,Rembang,78
1,Bali,76
2,Purwokerto,56
3,Palembang,51
4,Padang,50
5,Wonosobo,40
6,Madura,39
7,Banyumas,29
8,Bandjarmasin,26
9,Tegal,24
10,Batak,22
11,Banjumas,19
12,Malang,19
13,Menado,18
14,Irian Barat,17
15,Makasar,17
16,Makassar,16
17,Banten,16
18,Sumatera Barat,16
19,Banjarmasin,14
20,Solo,13
21,Madiun,13
22,Jogjakarta,13
23,Timor,12
24,Sumbawa,12
25,Jawa Barat,12
26,Ambon,11
27,Sukabumi,11
28,Sulawesi Selatan,10
29,Atjeh,9
30,Cianjur,9
31,Lombok,9
32,Jawa Tengah,9
33,Bandung,7
34,Tapanuli,6
35,Lampung,6
36,Surabaya,6
37,Bogor,6
38,Jakarta,6
39,Bugis,6
40,Jawa Timur,6
41,Brebes,6
42,Cirebon,6
43,Medan,5
44,Pasarminggu,5
45,Toraja,5
46,Samarinda,5
47,Gorontalo,5
48,Pati,5
49,Manado,5
50,Mandar,4
51,Aceh,4
52,Kalimantan,4
53,Priangan,4
54,Yogyakarta,4
55,Buton,3
56,Kotagadang,3
57,Maluku,3
58,Kedu,3
59,Pamekasan,3
60,Jawa,3
61,Magetan,3
62,Toradja,3
63,Riau,2
64,Sedayu,2
65,Djakarta,2
66,Sumenep,2
67,Flores,2
68,Tengger,1
69,Singkarak,1
70,Sumberrejo,1
71,Magelang,1
72,Ternate,1
73,Sulawesi Utara,1
74,Minangkabau,1
75,Pacitan,1
76,Djeneponto,1
77,Palopo,1
78,Djawa Tengah,1
79,Cilacap (Tjilatjap),1
80,Bajumas,1
81,Duri,1
82,Patjitan,1
83,Tjiandjur,1
84,Minang,1
85,Pariaman,1
86,Klaten,1
87,Cilacap,1
88,Bukittinggi,1
89,Djawa Barat,1
90,Sumatra,1
91,Ciamis,1
92,Pajakumbuh,1
93,Minahasa,1
94,Kajutanam,1
95,Sulawesi Utara/Tengah,1
96,Kerinci,1
97,Sumatera Barat: Singkarak,1
98,Poso,1
99,Italia Utara (Serving Suggestion),1
100,Jalisco,1
101,Jawa Tengah - Jawa Timur,1
102,Purworedjo,1
103,Jawa Tengah/Timur,1
